# Here you find the simulation outputdata
# Look into hetero_Particles.dat for general simulation data and aggregate data
#
#######################################################
# Experiment:							hetero
# Date:									2025-04-04 11:41

#######################################################
# Conditions acc to:					Pe
# Peclet Number:						0.0000e+00
# z-Velocity (m/s):						0.0000e+00
# Box_size (rel. to r_mean):			280
# Hight above max(z) (rel. to r_mean):	60
# Timestep adjustment:					1.00
# Temperature (K):						1488.10
#######################################################
# Particle Size Distribution:			lognorm
# Particle Mean Radius (nm):			4.48
# Particle sDerivation:					0.37
# Calculation Friction acc to:			Chen & Dahneke
#######################################################
# Primary particles:					200000
# Aggregates:							6452
# Particle Number Distribution:			none
# Particles per Aggregate:				31
#
# Fractal Dimension / Prefactor:		2.05	1.30
# Epsilon,Delta,Deformation:			1.001	1.010	1.000
# One Material is used
# Density (kg/m^3):						4.23e+03
#
#######################################################
# Agg	Np	Diff_p(m^2/s)	frict	m_p(kg)	t_s(s)	r_g	rho(kg/m^3)
199	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.102490e-08	4.230e+03
200	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.097704e-08	4.230e+03
201	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.100044e-08	4.230e+03
202	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.098364e-08	4.230e+03
203	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.097949e-08	4.230e+03
204	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.096127e-08	4.230e+03
205	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.048730e-08	4.230e+03
206	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.098690e-08	4.230e+03
207	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.100013e-08	4.230e+03
208	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.098780e-08	4.230e+03
209	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.091715e-08	4.230e+03
210	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.097929e-08	4.230e+03
211	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.099239e-08	4.230e+03
212	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.094812e-08	4.230e+03
213	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.093729e-08	4.230e+03
214	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.093356e-08	4.230e+03
215	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.098336e-08	4.230e+03
216	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.098269e-08	4.230e+03
